danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Dark Trap,Emo,Hiphop,Pop,Rap,RnB,Trap Metal,Underground Rap,dnb,hardstyle,psytrance,techhouse,techno,trance,trap
0.38,0.931,9,-3.71,0,0.0848,0.0068,0.0014,0.515,0.455,149.966,274843,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.492,0.955,2,-3.808,1,0.169,0.0122,0.0,0.17,0.533,139.767,243227,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.788,0.511,5,-8.714,0,0.174,0.579,0.0003,0.0968,0.383,130.023,173849,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8,0.97,4,-8.63,1,0.0496,0.0531,0.736,0.0533,0.918,126.006,400500,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.453,0.671,1,-6.284,0,0.0292,0.0013,0.0008,0.277,0.0437,119.955,297400,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.658,0.892,1,-4.989,1,0.0322,0.0015,0.0,0.613,0.21,131.122,223333,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.73,0.902,11,-6.337,0,0.0997,0.0012,0.123,0.0759,0.22,127.013,160630,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.692,0.464,9,-7.004,0,0.0422,0.526,0.0,0.106,0.484,193.798,208823,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.669,0.617,9,-8.011,1,0.252,0.0733,0.0,0.159,0.613,128.202,198863,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.466,0.858,6,-9.948,1,0.0462,0.0308,0.0349,0.3,0.314,138.019,348173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.818,0.799,1,-4.1,0,0.156,0.0011,0.128,0.057,0.0815,200.028,213733,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.856,0.485,5,-5.519,0,0.0597,0.0481,0.0,0.108,0.0929,136.005,174720,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.56,9,-11.537,0,0.0565,0.0861,0.9,0.292,0.235,131.936,209524,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,0.866,0,-4.001,1,0.035,0.0091,0.0014,0.352,0.377,150.043,182079,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.802,0.668,1,-6.29,1,0.0535,0.0012,0.783,0.048,0.2,125.007,265108,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.653,0.924,6,-2.575,0,0.067,0.001,0.339,0.201,0.106,173.008,247630,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.785,0.554,0,-12.677,1,0.0632,0.0019,0.867,0.361,0.152,136.022,407000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.696,0.448,6,-7.258,0,0.0548,0.0824,0.0,0.111,0.157,124.928,207360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.728,0.795,2,-5.791,1,0.0466,0.0052,0.229,0.0819,0.309,123.992,270968,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.664,0.813,5,-4.927,0,0.17,0.2,0.0,0.258,0.665,170.028,170118,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.494,0.425,0,-5.317,0,0.0746,0.848,0.0001,0.0895,0.275,133.204,180346,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.504,0.863,5,-4.874,0,0.0307,0.0761,0.0059,0.208,0.384,150.02,174769,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.461,0.482,1,-15.95,1,0.0375,0.0005,0.7,0.0788,0.0653,135.414,204647,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.895,0.688,0,-6.558,1,0.342,0.0024,0.0,0.346,0.743,112.987,130653,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.524,0.956,11,-6.676,0,0.0458,0.0656,0.844,0.0856,0.0964,139.0,626841,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.707,0.896,1,-11.037,1,0.0417,0.0542,0.885,0.0949,0.21,131.998,369705,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.58,0.977,1,-3.748,0,0.315,0.0694,0.0,0.693,0.557,161.238,242920,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.622,0.973,7,-5.633,1,0.0433,0.0047,0.858,0.168,0.473,125.999,217143,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.68,0.756,11,-6.469,0,0.0798,0.011,0.606,0.166,0.339,138.004,419130,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.677,0.531,7,-7.683,0,0.0327,0.219,0.0,0.173,0.57,182.208,294093,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.788,0.89,10,-6.217,0,0.0603,0.0022,0.498,0.0878,0.497,128.012,364687,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
