danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.643,0.923,1,-5.966,1,0.0451,0.0016,0.31,0.239,0.284,150.052,236269,4,trap
0.835,0.681,8,-4.357,1,0.111,0.249,0.0,0.18,0.687,113.989,202087,4,Hiphop
0.824,0.7,1,-4.734,0,0.0921,0.0109,0.0204,0.108,0.0409,124.987,279510,4,Underground Rap
0.78,0.608,7,-11.046,1,0.0482,0.176,0.965,0.111,0.0244,127.998,345372,4,techno
0.622,0.884,7,-7.202,1,0.0413,0.0006,0.771,0.929,0.298,145.987,362022,4,psytrance
0.52,0.607,9,-6.199,0,0.0961,0.014,0.0003,0.0695,0.446,175.019,298971,4,dnb
0.486,0.908,4,-2.893,0,0.038,0.0938,0.0113,0.0908,0.197,150.032,262340,4,hardstyle
0.573,0.926,6,-6.616,0,0.0548,0.0362,0.877,0.344,0.727,129.984,375462,4,psytrance
0.305,0.82,8,-4.988,1,0.114,0.0475,0.0016,0.196,0.164,172.935,154567,4,Underground Rap
0.562,0.917,2,-6.887,1,0.116,0.0004,0.858,0.678,0.116,139.99,495429,4,psytrance
0.635,0.952,1,-6.452,1,0.0467,0.0012,0.829,0.477,0.344,146.982,489796,4,psytrance
0.57,0.862,4,-8.928,1,0.0448,0.0023,0.835,0.0851,0.141,138.005,573913,4,psytrance
0.476,0.984,0,-5.198,1,0.0908,0.0004,0.888,0.133,0.441,144.009,440000,4,psytrance
0.858,0.602,1,-9.894,1,0.0642,0.166,0.0458,0.121,0.252,121.988,95138,4,Dark Trap
0.794,0.872,7,-9.789,1,0.0635,0.001,0.936,0.0934,0.117,131.989,440686,4,techno
0.755,0.914,7,-8.67,1,0.0534,0.0004,0.909,0.0848,0.45,130.003,472640,4,techno
0.315,0.988,9,-1.787,0,0.0441,0.0001,0.857,0.0979,0.213,174.028,268658,4,dnb
0.539,0.97,7,-5.737,1,0.0527,0.0001,0.612,0.738,0.0855,145.003,435103,4,psytrance
0.91,0.733,1,-4.906,1,0.185,0.0171,0.562,0.112,0.47,123.009,206829,4,techhouse
0.367,0.992,10,-2.68,0,0.53,0.0006,0.849,0.358,0.188,149.987,172800,4,trap
0.735,0.766,1,-4.485,1,0.0383,0.025,0.0014,0.108,0.6,127.985,215227,4,Pop
0.705,0.812,2,-3.429,1,0.0592,0.0242,0.0912,0.0579,0.362,172.018,337801,4,dnb
0.477,0.937,1,-3.694,1,0.245,0.0,0.0495,0.13,0.0787,140.024,275286,4,trap
0.579,0.566,2,-11.981,0,0.0459,0.213,0.0168,0.0819,0.111,128.064,247603,4,Dark Trap
0.638,0.757,0,-3.079,1,0.243,0.0306,0.221,0.636,0.508,173.962,275862,4,dnb
0.43,0.941,2,-3.782,0,0.0402,0.001,0.0002,0.183,0.159,149.973,251550,3,hardstyle
0.613,0.688,6,-6.297,1,0.0612,0.224,0.0001,0.381,0.302,105.027,164986,4,Hiphop
0.756,0.983,10,-0.565,0,0.25,0.0578,0.0003,0.887,0.47,150.016,221342,4,trap
0.798,0.942,7,-7.956,1,0.0391,0.0028,0.893,0.102,0.0843,125.998,463824,4,techno
0.508,0.779,4,-9.66,0,0.0385,0.0004,0.965,0.826,0.116,137.937,170300,4,trance
0.421,0.969,9,-2.4,0,0.345,0.0022,0.0,0.279,0.604,155.012,135005,4,hardstyle
0.688,0.531,6,-7.007,0,0.299,0.453,0.0,0.302,0.614,183.836,54653,4,Underground Rap
0.545,0.989,8,-6.447,0,0.0964,0.0,0.4,0.294,0.143,137.99,372375,4,trance
0.512,0.866,0,-4.061,1,0.0302,0.0002,0.0,0.31,0.392,142.995,218747,4,Emo
0.746,0.884,10,-4.354,0,0.0677,0.0323,0.434,0.113,0.651,167.09,135988,4,Underground Rap
0.683,0.432,10,-13.464,0,0.0322,0.0603,0.855,0.111,0.108,126.008,416657,4,techno
0.563,0.619,8,-7.795,0,0.227,0.0364,0.0,0.676,0.377,164.82,134091,4,Trap Metal
0.647,0.517,8,-5.81,0,0.052,0.0182,0.906,0.079,0.29,171.989,293529,4,dnb
0.431,0.961,2,-6.598,0,0.0603,0.0002,0.207,0.368,0.163,138.001,235187,4,trance
0.692,0.742,11,-15.948,1,0.0425,0.002,0.904,0.083,0.165,127.415,181301,4,techno
0.92,0.627,10,-2.054,0,0.0783,0.0,0.0,0.137,0.407,125.097,140636,4,Trap Metal
0.307,0.867,11,-4.273,1,0.112,0.0095,0.0,0.0726,0.598,149.879,211200,4,hardstyle
0.626,0.909,1,-2.299,1,0.234,0.0168,0.0133,0.17,0.518,150.048,192800,4,trap
0.558,0.855,5,-7.911,0,0.0409,0.0145,0.908,0.348,0.684,174.0,391105,4,dnb
0.553,0.799,5,-6.022,1,0.0493,0.0004,0.787,0.0996,0.129,192.121,320000,4,Dark Trap
0.68,0.821,10,-8.116,0,0.0479,0.002,0.823,0.353,0.126,132.973,468020,4,psytrance
0.818,0.331,1,-10.617,1,0.111,0.0152,0.0,0.119,0.326,170.128,192052,4,Underground Rap
0.726,0.735,10,-7.507,1,0.189,0.185,0.0,0.368,0.539,155.022,114581,4,Trap Metal
0.855,0.614,11,-8.984,0,0.41,0.015,0.0,0.307,0.495,105.986,178600,4,Hiphop
0.905,0.817,1,-4.26,1,0.397,0.119,0.0,0.15,0.8,140.083,89208,4,Trap Metal
0.0651,0.926,5,-4.355,0,0.108,0.0064,0.0,0.398,0.0321,190.648,91507,3,Trap Metal
0.673,0.935,6,-6.429,0,0.0447,0.0003,0.872,0.359,0.232,141.982,402254,4,psytrance
0.562,0.915,7,-6.48,1,0.0517,0.0029,0.508,0.528,0.189,137.997,480920,4,psytrance
0.512,0.803,2,-5.135,1,0.0531,0.0036,0.0006,0.116,0.591,124.162,249693,4,Pop
0.799,0.765,11,-2.681,1,0.217,0.0011,0.0256,0.14,0.0697,145.045,251586,4,trap
0.466,0.955,1,-2.354,1,0.0961,0.0002,0.936,0.671,0.378,173.973,280664,4,dnb
0.552,0.944,10,-4.803,0,0.0509,0.0001,0.849,0.979,0.376,143.04,510221,4,psytrance
0.634,0.951,4,-5.103,1,0.0591,0.0021,0.196,0.206,0.0837,130.016,380308,4,trance
0.693,0.838,1,-8.254,0,0.143,0.468,0.0,0.164,0.224,131.989,117250,4,Trap Metal
0.477,0.991,11,-4.583,1,0.218,0.0113,0.233,0.336,0.245,138.064,277500,4,psytrance
0.46,0.694,1,-5.736,1,0.0731,0.143,0.0,0.271,0.36,214.466,362601,4,RnB
0.592,0.872,4,-4.466,0,0.0726,0.0024,0.0025,0.728,0.232,128.03,217500,4,trance
0.854,0.598,0,-7.373,1,0.0595,0.173,0.016,0.0752,0.302,129.999,228923,4,Dark Trap
0.833,0.203,10,-12.456,0,0.211,0.0091,0.0,0.124,0.04,200.046,161558,4,Dark Trap
0.384,0.561,0,-7.842,0,0.107,0.0003,0.0026,0.381,0.206,175.93,174545,4,Dark Trap
0.65,0.766,0,-5.222,1,0.279,0.357,0.0,0.149,0.445,81.721,228792,4,Rap
0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4,Rap
0.63,0.957,6,-6.003,1,0.049,0.0001,0.738,0.414,0.517,146.003,465580,4,psytrance
0.629,0.578,1,-4.704,1,0.0428,0.2,0.0,0.151,0.211,79.94,307000,4,Rap
0.779,0.989,7,-6.395,1,0.0596,0.009,0.817,0.0365,0.604,124.977,339360,4,techhouse
0.698,0.741,2,-6.737,1,0.0369,0.0027,0.312,0.13,0.0386,122.002,568912,4,techhouse
0.593,0.731,5,-6.902,1,0.0374,0.0005,0.0046,0.54,0.0467,127.992,230625,4,trance
0.61,0.865,2,-7.681,1,0.431,0.312,0.0,0.0719,0.755,106.28,188880,3,Underground Rap
0.496,0.907,10,-4.294,0,0.145,0.0378,0.0151,0.338,0.279,150.068,199200,4,hardstyle
0.348,0.447,0,-4.069,1,0.029,0.917,0.0,0.161,0.454,176.492,132541,5,Emo
0.615,0.747,5,-5.046,0,0.235,0.0,0.743,0.262,0.502,149.908,116976,4,Dark Trap
0.579,0.268,2,-5.65,1,0.0442,0.868,0.0,0.12,0.321,205.903,188238,4,Hiphop
0.749,0.458,1,-9.617,1,0.296,0.0075,0.0001,0.175,0.0481,127.936,116370,4,Dark Trap
0.762,0.213,10,-14.68,1,0.128,0.52,0.0,0.0668,0.105,220.138,178910,4,Dark Trap
0.775,0.93,1,-8.144,1,0.0446,0.0011,0.923,0.068,0.0345,127.998,534000,4,techno
0.625,0.699,7,-10.665,1,0.478,0.059,0.0,0.231,0.381,147.956,158108,4,Hiphop
0.415,0.863,7,-4.232,0,0.0542,0.122,0.586,0.31,0.0611,175.011,291029,4,dnb
0.777,0.693,6,-10.306,0,0.52,0.0269,0.0,0.0734,0.147,166.058,172147,4,Dark Trap
0.633,0.923,9,-6.798,1,0.0655,0.0017,0.89,0.127,0.0369,141.994,527324,4,psytrance
0.76,0.476,8,-8.103,1,0.241,0.294,0.0,0.1,0.354,147.01,161990,4,RnB
0.826,0.647,5,-6.306,0,0.0491,0.0277,0.0,0.298,0.872,204.034,223000,4,RnB
0.281,0.921,4,-4.272,0,0.214,0.0152,0.0002,0.309,0.12,149.429,227116,4,hardstyle
0.685,0.954,10,-7.3,0,0.0498,0.0213,0.581,0.113,0.189,136.019,384721,4,techno
0.492,0.747,8,-6.606,0,0.135,0.156,0.0,0.361,0.62,180.438,199879,4,Hiphop
0.415,0.904,8,-5.545,0,0.0496,0.0786,0.0,0.179,0.0594,149.942,278400,4,hardstyle
0.636,0.974,1,-5.993,1,0.046,0.0001,0.884,0.162,0.383,143.999,404212,4,psytrance
0.624,0.976,1,-1.548,1,0.13,0.0006,0.103,0.065,0.211,149.958,201319,4,trap
0.564,0.973,11,-5.81,0,0.0497,0.0,0.861,0.719,0.318,150.03,438400,4,psytrance
0.678,0.932,8,-7.878,1,0.0431,0.0002,0.862,0.747,0.283,136.01,532117,4,psytrance
0.818,0.739,7,-9.991,0,0.0569,0.0117,0.0,0.0653,0.92,104.657,293733,4,Hiphop
0.486,0.964,7,-4.058,1,0.0376,0.0019,0.127,0.108,0.0603,174.017,300624,4,dnb
0.688,0.824,6,-7.99,0,0.0438,0.0019,0.928,0.062,0.439,125.002,192625,4,techhouse
0.658,0.71,1,-7.226,1,0.421,0.165,0.0,0.0778,0.549,178.301,352973,4,Underground Rap
0.48,0.997,10,-3.288,1,0.114,0.0004,0.808,0.286,0.103,140.037,198942,4,trance
0.798,0.656,6,-8.315,0,0.0506,0.0091,0.801,0.101,0.0386,123.988,294592,4,techhouse
0.918,0.419,7,-9.129,0,0.104,0.0146,0.0,0.195,0.756,192.072,151054,4,Underground Rap
0.541,0.707,1,-3.388,1,0.0348,0.0827,0.0,0.111,0.0933,109.95,144115,4,Trap Metal
0.589,0.809,1,-7.114,0,0.0438,0.0104,0.726,0.142,0.0708,148.027,235152,4,Dark Trap
0.875,0.907,4,-11.434,0,0.166,0.0166,0.0,0.36,0.743,188.01,340133,4,Hiphop
0.693,0.573,10,-7.652,0,0.22,0.0142,0.0,0.0372,0.457,129.931,185893,3,RnB
0.571,0.951,2,-5.669,1,0.0518,0.0001,0.849,0.682,0.0524,140.044,471429,4,psytrance
0.768,0.917,11,-7.29,0,0.057,0.0091,0.857,0.054,0.224,123.986,192500,3,techhouse
0.533,0.925,2,-6.596,1,0.149,0.0012,0.0052,0.753,0.284,149.98,341239,4,hardstyle
0.42,0.627,1,-2.943,1,0.0636,0.0773,0.0002,0.126,0.104,198.564,308577,4,Trap Metal
0.693,0.516,8,-6.446,1,0.0413,0.297,0.0001,0.0604,0.494,188.04,220853,4,RnB
0.633,0.552,1,-5.206,0,0.354,0.281,0.0,0.329,0.406,187.074,178040,4,Hiphop
0.74,0.993,1,-3.35,1,0.382,0.118,0.0,0.0929,0.203,120.022,123302,4,Trap Metal
0.581,0.922,1,-3.408,0,0.0667,0.0235,0.0,0.202,0.595,118.409,191545,4,Emo
0.549,0.804,7,-6.115,1,0.366,0.103,0.0,0.18,0.707,190.479,201960,4,Underground Rap
0.621,0.967,2,-4.836,1,0.0485,0.0,0.851,0.59,0.199,145.999,491373,4,psytrance
0.57,0.493,5,-5.425,0,0.0863,0.0068,0.0,0.051,0.728,180.009,203973,4,RnB
0.65,0.904,11,-8.454,0,0.0414,0.0003,0.803,0.305,0.112,136.026,439412,4,psytrance
0.714,0.953,10,-9.39,0,0.0425,0.0001,0.872,0.127,0.101,129.989,403214,4,techno
0.541,0.965,8,-4.781,0,0.0534,0.0013,0.186,0.359,0.35,130.014,196731,4,trance
0.461,0.971,0,-2.816,1,0.0944,0.0142,0.0001,0.342,0.148,128.001,194923,4,trance
0.398,0.748,2,-5.917,1,0.0881,0.0971,0.0,0.0776,0.606,167.487,308453,4,Emo
0.743,0.731,6,-6.956,1,0.345,0.0193,0.0,0.108,0.593,144.909,185319,4,Rap
0.672,0.77,8,-5.454,1,0.295,0.0169,0.0,0.08,0.667,164.14,297920,4,RnB
0.48,0.652,1,-10.661,0,0.37,0.0074,0.0,0.28,0.609,172.418,305653,4,Underground Rap
0.814,0.589,10,-7.762,0,0.324,0.0145,0.0,0.114,0.375,149.08,238400,4,Rap
0.772,0.644,10,-6.318,0,0.265,0.158,0.0,0.366,0.388,164.1,312373,4,Underground Rap
0.754,0.298,7,-12.676,1,0.0487,0.261,0.89,0.0698,0.483,140.005,159478,4,Dark Trap
0.61,0.929,1,-11.54,1,0.0474,0.0002,0.789,0.151,0.0953,147.007,435867,4,psytrance
0.445,0.606,4,-6.279,1,0.0778,0.82,0.0,0.117,0.375,173.424,167996,5,Underground Rap
0.842,0.609,11,-5.379,1,0.139,0.112,0.0,0.0435,0.818,190.448,264400,4,Hiphop
0.961,0.571,6,-4.002,1,0.177,0.0129,0.0,0.0472,0.64,125.011,202277,4,Underground Rap
0.657,0.914,7,-4.631,1,0.17,0.012,0.0861,0.233,0.626,160.048,158825,5,Underground Rap
0.769,0.609,1,-5.894,1,0.357,0.216,0.0,0.166,0.633,181.902,241307,4,RnB
0.503,0.837,11,-5.738,0,0.0589,0.0012,0.0188,0.325,0.197,149.875,263317,4,hardstyle
0.51,0.952,4,-2.949,0,0.0409,0.0016,0.829,0.0902,0.0948,170.017,374318,4,dnb
0.691,0.871,11,-3.203,1,0.161,0.001,0.008,0.135,0.338,175.025,277029,4,dnb
